movie_title,movie_info,critics_consensus,rating,genre,directors,writers,cast,in_theaters_date,on_streaming_date,runtime_in_minutes,studio_name,tomatometer_status,tomatometer_rating,tomatometer_count,audience_rating,audience_count
Bakjwi (Thirst),"Song Kang-ho, Shin Ha-kyun, and Kim Ok-bin star in Oldboy director Park Chan-wook's frightener concerning a priest whose life takes a turn for the worst after he participates in a medical experiment to find a cure for a deadly disease.",The stylish Thirst packs plenty of bloody thrills to satisfy fans of both vampire films and director Chan Wook Park.,R,"Art House & International, Drama, Horror",Chan-wook Park,"Chan-wook Park, Chung Seo-Kyung, Chung Chung-Hoon","Ok-bin Kim, Shin Ha-Gyun, Kim Hae-suk, Oh Dal-su, Song Kang Ho, Mercedes Cabral, Eriq Ebouaney, Park In-hwan",2009-04-30,2009-11-17,133,Focus Features,Certified Fresh,81,114,75,19443
The Kids Are All Right,"Two teenaged children get the notion to seek out their biological father and introduce him into the family life that their two mothers have built for them. Once the donor is found, the household will never be the same, as family ties are defined, re-defined, and re-re-defined.","Worthwhile as both a well-acted ensemble piece and as a smart, warm statement on family values, The Kids Are All Right is remarkable.",R,"Comedy, Drama",Lisa Cholodenko,"Lisa Cholodenko, Stuart Blumberg","Julianne Moore, Annette Bening, Mark Ruffalo, Mia Wasikowska, Josh Hutcherson, Yaya DaCosta, Kunal Sharma, Eddie Hassell, Zosia Mamet, Joaquin Garrido, Rebecca Lawrence, Lisa Eisner, Eric Eisner, Sasha Spielberg, James MacDonald, Margo Victor",2010-07-09,2010-11-16,104,Focus Features,Certified Fresh,93,222,74,63538
Promised Land,"Promised Land is the new contemporary drama directed by Gus Van Sant (Good Will Hunting, Milk). Matt Damon plays Steve Butler, an ace corporate salesman who is sent along with his partner, Sue Thomason (Frances McDormand), to close a key rural town in his company's expansion plans. With the town having been hit hard by the economic decline of recent years, the two outsiders see the local citizens as likely to accept their company's offer, for drilling rights to their properties, as much-needed relief. What seems like an easy job for the duo becomes complicated by the objection of a respected schoolteacher (Hal Holbrook) with support from a grassroots campaign led by another man (John Krasinski), as well as the interest of a local woman (Rosemarie DeWitt). Promised Land explores America at the crossroads where big business and the strength of small-town community converge.","The earnest and well-intentioned Promised Land sports a likable cast, but it also suffers from oversimplified characterizations and a frustrating final act.",R,Drama,Gus Van Sant,"John Krasinski, Matt Damon","Matt Damon, John Krasinski, Frances McDormand, Johnny Cicco, Rosemarie DeWitt, Hal Holbrook, Scoot McNairy, Titus Welliver, Benjamin Sheeler, Terry Kinney, Carla Bianco, Joe Coyle, Dorothy Silver, Lexi Cowan, Tim Guinee, Sara Lindsey, Frank Conforti, Garrett Ashbaugh, Jerico Morgan, Max Schuler, August G. Siciliano, Ken Strunk, Karen Baum, Gerri Bumbaugh, Erin Baldwin, Kristin Slaysman, Andrew Kuebel, Matthew Ferrante, Justin Cook, Steven Craven, Bruce Craven, Gene Williams, Dan Anders, Lucas Black, Sandy Medred, Carrington E. Vaughn, Alexander Cain, Joy De La Paz, Lennon Wynn Kuzniar, Payton Godfrey",2013-01-04,2013-04-23,106,Focus Features,Rotten,52,152,46,20344
Ned Kelly,"In the latter part of the 19th century, Australia is still largely untamed. The former penal colony's first-generation Irish immigrant population lives in poverty. Having already experienced police brutality and the death of his father, bushranger Ned Kelly is wrongfully imprisoned on the trumped-up charge of stealing a horse. Emerging a few years later, in 1874, Ned is hardened but vows to stay straight. Rejoining his widowed mother and younger siblings, he makes money for his family as a champion bare-knuckle boxer. He also toils as a farmhand on the estate of an English landowner--with whose beautiful wife Ned shares a mutual attraction. But the British colonial system and its Victorian English enforcers remain prejudiced against Australia's working people, and the struggling Kelly family is no exception. When, in 1878, a bullying police officer is rebuffed by Ned's younger sister Kate and targets the family for harassment, Ned and his mother are unjustly charged with attempted murder. Ned is determined to avenge his family's name and strike back against his people's oppressors. While hiding in the bush, he forms a loyal Gang that includes his best friend Joe Byrne. When a chance encounter with the police culminates in three officers killed, the Kelly Gang is forced to go on the run. They blaze a trail through the Outback, robbing banks to fund themselves and giving police the runaround. The Kelly Gang's reputation as invincible outlaws grows, as does nationwide support from their immigrant countrymen. To the masses, Ned is a hero. To lawmen, he is the most wanted man in Australia. When the authorities bring in the formidable Superintendent Francis Hare to capture and/or kill the outlaws, Ned strategizes a risky showdown at the Glenrowan Inn. It is this event which will seal his fate--and his legend.","More depth about the legendary outlaw would be welcome, but as it is, Ned Kelly is a reasonably entertaining Western.",R,"Action & Adventure, Drama, Western",Gregor Jordan,John Michael McDonagh,"Heath Ledger, Orlando Bloom, Geoffrey Rush, Naomi Watts, Laurence Kinlan, Philip Barantini, Joel Edgerton, Kiri Paramore, Joel Egerton, Kerry Condon, Kris McQuade, Emily Browning, Rachel Griffiths, Geoff Morrell, Charles 'Bud' Tingwell, Saskia Burmeister, Peter Phelps, Russell Dykstra, Nick Farnell, Gilbert Russell, Brooke Harman, Molly McCaffrey, Tim Wright, Nicholas Bell, Anthony Hayes, Jonathan Hardy, Karen Davitt, Declan Simpson, Andrew S. Gilbert, Jerome Ehlers, Warwick Sadler, Morgan Evans, Warwick Yuen, John Muirhead, Bernard Fanning, Eddy McShortall, Sharlene Yeh, Damian Walshe-Howling, John Davidson, Peter Forster, Christopher Birt, Peter O'Shea, Nick Bourke, Christopher Baker, Brian Wray, Thea Gumbert, Gregan O'Leary, Chris Wilson, Graham Jahne, Clayton Jacobson, Cody O'Prey, Tasman Vaughn, Greg Saunders, Victoria Eagger, Jessica Hall, Sarah Pass, Monty Maizels, Alexander Ramsey, Samuel Shepherd, Dan Bourke, Anthony O'Neill, Paddy O'Neill, Steve Simmonds, Edward Carisbrooke, Erika Felton, Frank McGree, Talia Zucker, Laurie Jensen, Jom Howes, Geoff Wallis, Lucy Christopher, Thomas Blackburne, Jim Russell, Mandy McElhinney, David Ngoombujarra, Jack Mancoor, John Bedggode, Peter Flood, Guy Charnock, Madeleine Jay, Matt Molony, Ashley Gosam, Jida Gulpilil, Colin Aitken-Glass, Harold Lawrence, Mitchell Pickering, John Bolger, Brendan O'Connor, James Re, Mark Blackmore, Neil Jenkin, Eileen Dibbs, Timothy Gingell, Judith Lee, Anthony Namor, Robert David Sanders, Michael Edward Williams",2003-03-26,2004-07-27,110,Focus Features,Rotten,56,54,53,41321
The Debt,"The espionage thriller begins in 1997, as shocking news reaches retired Mossad secret agents Rachel (Helen Mirren) and Stephan (Tom Wilkinson) about their former colleague David (Ciarán Hinds). All three have been venerated for decades by their country because of the mission that they undertook back in 1966, when the trio (portrayed, respectively, by Jessica Chastain, Marton Csokas, and Sam Worthington tracked down Nazi war criminal Vogel (Jesper Christensen) in East Berlin. At great risk, and at considerable personal cost, the team's mission was accomplished - or was it? The suspense builds in and across two different time periods, with startling action and surprising revelations. -- (C) Focus","Its time-shifting narrative creates distracting casting problems, but ultimately, The Debt is a smart, well-acted entry in a genre that could use more like it.",R,"Drama, Mystery & Suspense",John Madden,"Peter Straughan, Jane Goldman, Matthew Vaughn","Helen Mirren, Sam Worthington, Jessica Chastain, Jesper Christensen, Marton Csokas, Ciarán Hinds, Tom Wilkinson, Romi Aboulafia, Tomer Ben David, Ohev Ben David, Jonathan Uziel, Elana Kivity, Eli Zohar, Irén Bordán, Brigitte Kren, Nitzan Sharron, Balint Meran, Christian Strassner, Alexander E. Fennon, István Betz, Alexander Jagsch, Andras Szurdi, Melinda Korcsog, Adar Beck, Kátya Tompos, Jozsef Racz, Istvan Goz, Igor Vovk, Morris Perry, Erika Szoradi",2011-08-31,2011-12-06,113,Focus Features,Certified Fresh,77,183,66,35874
A Little Chaos,"A romantic drama following Sabine, a talented landscape designer, who is building a garden at Versailles for King Louis XIV. Sabine struggles with class barriers as she becomes romantically entangled with the court's renowned landscape artist. (C) Focus World","Stylish and well-acted without ever living up to its dramatic potential, A Little Chaos is shouldered by the impressive efforts of a talented cast.",R,"Art House & International, Drama",Alan Rickman,"Alison Deegan, Jeremy Brock, Alan Rickman","Kate Winslet, Matthias Schoenaerts, Alan Rickman, Stanley Tucci, Helen McCrory, Jennifer Ehle, Thomas Allam, Hope Hancock, Isabella Steinbarth, Hal Hewetson, Carolina Valdés, Eleanor Montgomery, Danny Webb, Cathy Belton, Steven Waddington, Adrian Scarborough, Adrian Schiller, Ben Fox, Morgan Watkins, Angus Wright, Alistair Petrie, Rupert Penry-Jones, Mia Threapleton, Henry Garrett, Jamie Bradley, Andrea Paula Paul, Richard Heap, Lois Wright, David Foxxe, William Spray, Fidelis Morgan, Pauline Moran, Michelle Newell, Kirsty Oswald, Phyllida Law, Ben Roberts, John Wark, Kristin Milward, Robin Hooper, Adam James, William Allam",2015-06-26,2015-08-04,116,Focus Features,Rotten,48,92,48,4952
A Serious Man,"""A Serious Man"" is the story of an ordinary man's search for clarity in a universe where Jefferson Airplane is on the radio and ""F-Troop"" is on TV. It is 1967, and Larry Gopnik, a physics professor at a quiet Midwestern university, has just been informed by his wife Judith that she is leaving him. She has fallen in love with one of his more pompous colleagues, Sy Ableman, who seems to her a more substantial person than the feckless Larry. Larry's unemployable brother Arthur is sleeping on the couch, his son Danny is a discipline problem and a shirker at Hebrew school, and his daughter Sarah is filching money from his wallet in order to save up for a nose job. While his wife and Sy Ableman blithely make new domestic arrangements, and his brother becomes more and more of a burden, an anonymous hostile letter-writer is trying to sabotage Larry's chances for tenure at the university. Also, a graduate student seems to be trying to bribe him for a passing grade while at the same time threatening to sue him for defamation. Plus, the beautiful woman next door torments him by sunbathing nude. Struggling for equilibrium, Larry seeks advice from three different rabbis. Can anyone help him cope with his afflictions and become a righteous person -- a mensch -- a serious man?","Blending dark humor with profoundly personal themes, the Coen brothers deliver what might be their most mature -- if not their best -- film to date.",R,"Comedy, Drama","Roger Deakins, Joel Coen, Ethan Coen","Joel Coen, Ethan Coen","Michael Stuhlbarg, Richard Kind, Fred Melamed, Sari Lennick, Amy Landecker, Alan Mandell, Fyvush Finkel, Adam Arkin, Allen Lewis Rickman, Yelena Shmulenson, Peter Breitmayer, Brent Braunschweig, Simon Helberg, David Kang, Aaron Wolff, Jessica McManus, Ari Hoptman, Michael Tezla, George Wyner, Michael Lerner, Benjamin Portnoe, Jon Kaminski Jr., Ronald Schultz, Raye Birk, Charles Brin, Stephen Park, James Cada, Jane Hammill, Sidor Belarsky, Jimi Hendrix, Carter Burwell",2009-10-02,2010-02-09,106,Focus Features,Certified Fresh,90,221,68,63001
Anna Karenina,"The third collaboration of Academy Award nominee Keira Knightley with acclaimed director Joe Wright, following the award-winning box office successes Pride & Prejudice and Atonement, is a bold, theatrical new vision of the epic story of love, adapted from Leo Tolstoy's timeless novel by Academy Award winner Tom Stoppard. The story powerfully explores the capacity for love that surges through the human heart. As Anna (Ms. Knightley) questions her happiness and marriage, change comes to all around her. -- (C) Focus","Joe Wright's energetic adaptation of Tolstoy's classic romance is a bold, visually stylized work -- for both better and worse.",R,"Drama, Romance",Joe Wright,Tom Stoppard,"Keira Knightley, Jude Law, Aaron Taylor-Johnson, Matthew MacFadyen, Domhnall Gleeson, Alicia Vikander, Kelly Macdonald, Ruth Wilson, Olivia Williams, Emily Watson, Eric MacLennan, Theo Morrissey, Cecily Morrissey, Freya Galpin, Octavia Morrissey, Beatrice Morrissey, Marine Battier, Guro Nagelhus Schia, Aruhan Galieva, Carl Grose, Bryan Hands, Oskar McNamara, Luke Newberry, Michael Shaeffer, Steven Beard, Pip Torrens, Susanne Lothar, Alexandra Roach, Henry Lloyd-Hughes, David Wilmot, Tannishtha Chatterjee, Joseph Macnab, Nick Holder, Claire Greenway, Mike Shepherd, Arthur Nightingale, Buffy Davis, Gala Wesson, Eros Vlahos, Kyle Soller, Sam Cox, Max Bennett, Holliday Grainger, Jude Monk McGowan, Antony Byrne, Michelle Dockery, Emerald Fennell, Sarine Sofair, Thomas Howes, Raphaël Personnaz, Bill Skarsgård, Cara Delevingne, Bodil Blain, Hera Hilmar, Kenneth Collard, Steve Evets, Conor McCarry, Giles King, Martin Wimbush, James Northcote, Duncan Wisbey, Jamie Beamish, Shirley Henderson, Simon Muller, Nikolai Lester, Tillie-Bett Grant, Aaron Johnson",2012-11-16,2013-02-19,130,Focus Features,Fresh,62,189,50,52616
Assault on Precinct 13,"This action-packed remake of the John Carpenter classic tells the tale of an under-manned Detroit police precinct on its last day of operation that finds itself under siege by a ruthless force that will not stop. This time, a notorious cop-killer and mobster Marion Bishop (Laurence Fishbourne) is unexpectedly brought into the precinct during a blizzard on New Year's Eve, much to the dismay of police sergeant Jake Roenick (Ethan Hawke). By nightfall, the remaining cops and prisoners find themselves fighting for their lives against a group of rogue cops intent on taking down Bishop before he testifies against them in the courtroom. Now it's up to the officers, secretaries, and inmates on the inside to band together just to survive this one night. Also starring Gabriel Byrne, John Leguizamo, Drea de Matteo, and Brian Dennehy. ~ Jeremy Wheeler, Rovi","This remake has been praised by some as an expertly made B-movie, and dismissed by others as formulaic.",R,"Action & Adventure, Drama, Mystery & Suspense","Jean-François Richet, Jean Richet",James DeMonaco,"Ethan Hawke, Laurence Fishburne, John Leguizamo, Maria Bello, Ja Rule, Drea de Matteo, Matt Craven, Aisha Hinds, Peter Bryant, Brian Dennehy, Gabriel Byrne, Fulvio Cecere, Sasha Roiz, Philip J. Marshall, Jasmin Geljo, Courtney Cunningham, Hugh Dillon, Titus Welliver, Kim Coates, Tig Fong, Darren Frost, Dorian Harewood, Currie Graham, Jessica Greco, Robert Hayley, Jeff Ironi, Ray Kahnert, J. C. Kenny, Brian King, Gilson Lubin, Arnold Pinnock, Roman Podhora, Ed Queffelec, Dave Thomassini, Melissa Thomson, Al J. Vrkljan, Mario Klemens",2005-01-19,2005-05-10,108,Focus Features,Rotten,59,165,48,94474
Atomic Blonde,"A high-stakes, global action-thriller that takes place in the city of Berlin, on the eve of the Wall's collapse and the shifting of superpower alliances. Charlize Theron (""Mad Max: Fury Road"") portrays Lorraine Broughton, a top-level spy for MI6, who is dispatched to Berlin to take down a ruthless espionage ring that has just killed an undercover agent for reasons unknown. She is ordered to cooperate with Berlin station chief David Percival (James McAvoy of ""X-Men""), and the two form an uneasy alliance, unleashing their full arsenal of skills in pursuing a threat that jeopardizes the West's entire intelligence operation.",Atomic Blonde gets enough mileage out of its stylish action sequences -- and ever-magnetic star -- to make up for a narrative that's somewhat less hard-hitting than its protagonist.,R,"Action & Adventure, Drama, Mystery & Suspense",David Leitch,Kurt Johnstad,"Charlize Theron, James McAvoy, John Goodman, Til Schweiger, Eddie Marsan, Sofia Boutella, Toby Jones, James Faulkner, Jóhannes Haukur Jóhannesson, Bill Skarsgård, Roland Møller, Barbara Sukowa, Johannes Johannesson, Daniel Bernhardt",2017-07-28,2017-11-14,115,Focus Features,Certified Fresh,78,341,64,34336
Atonement,"In 1935, 13-year-old fledgling writer Briony Tallis and her family live a life of wealth and privilege in their enormous mansion. On the warmest day of the year, the country estate takes on an unsettling hothouse atmosphere, stoking Briony's vivid imagination. Robbie Turner, the educated son of the family's housekeeper, carries a torch for Briony's headstrong older sister Cecilia. Cecilia, he hopes, has comparable feelings; all it will take is one spark for this relationship to combust. When it does, Briony--who has a crush on Robbie--is compelled to interfere, going so far as accusing Robbie of a crime he did not commit. Cecilia and Robbie declare their love for each other, but he is arrested--and with Briony bearing false witness, the course of three lives is changed forever. Briony continues to seek forgiveness for her childhood misdeed. Through a terrible and courageous act of imagination, she finds the path to her uncertain atonement and to an understanding of the power of enduring love.","Atonement features strong performances, brilliant cinematography, and a unique score. Featuring deft performances from James MacAvoy and Keira Knightley, it's a successful adaptation of Ian McEwan's novel.",R,"Drama, Romance",Joe Wright,"Ian McEwan, Christopher Hampton","James McAvoy, Keira Knightley, Saoirse Ronan, Brenda Blethyn, Romola Garai, Vanessa Redgrave, Allie MacKay, Benedict Cumberbatch, Julia Ann West, Harriet Walter, Daniel Mays, Juno Temple, Nonso Anozie, Julia Westland, Felix von Simson, Charlie Von Simson, Leander Deeny, Alfie Allen, Patrick Kennedy, Michelle Duncan, Peter Wight, Peter McNeil O'Connor, Michel Vuillermoz, Lionel Abelanski, Nick Bagnall, Tobias Menzies, Anthony Minghella, Paul Stocker, John Normington, Alex Noodle, Roger Evans, Bronson Webb, Ian Bonar, Oliver Gilbert, Jamie Beamish, Johnny Harris, Billy Seymour, Neil Maskell, Paul Harper, Gina McKee, Charlie Banks, Madeleine Crowe, Scarlett Dalton, Katy Lawrence, Jade Moulla, Georgia Oakley, Alice Orr-Ewing, Catherine Philps, Bryony Reiss, Sarah Shaul, Anna Singleton, Emily Thomson, Kelly Scott, Mark Holgate, Ryan Kiggell, Vivienne Gibbs, Matthew Forest, Richard Stacey, Jay Quinn, Jérémie Renier, Jack Harcourt, Ben Harcourt, Tilly Vosburgh, Angel Witney, Bonnie Witney, Webb. Bem, Wendy Nottingham, Benjamin Wallfisch",2007-09-07,2008-03-18,123,Focus Features,Certified Fresh,83,215,80,227029
Away We Go,"This funny and heartfelt film follows the journey of an expectant couple as they travel the U.S. in search of the perfect place to put down roots and raise their family. Along the way, they have misadventures and find fresh connections with an assortment of relatives and old friends who just might help them discover ""home"" on their own terms for the first time.","Built on a set of quirks and charms that are as noticeable as they are interchangeable, Away We Go is a sweet but uneven road trip.",R,"Comedy, Drama",Sam Mendes,"Vendela Vida, Dave Eggers","John Krasinski, Maya Rudolph, Carmen Ejogo, Jeff Daniels, Jim Gaffigan, Catherine O'Hara, Samantha Pryor, Conor Carroll, Maggie Gyllenhaal, Josh Hamilton, Kevin J. O'Connor, Bailey Harkins, Chris Messina, Melanie Lynskey, Colton Parsons, Katherine Vaskevich, Jerome Walter Stephens, Brianna Eunmi Kim, Paul Schneider, Isabelle Moon Alexander, Finnerty Steeves, Stephanie Kurtzuba, Pete Wiggins, Allison Janney, Audrey Amey, Shirley Roeca, Tory Wood",2009-06-05,2009-09-29,98,Focus Features,Fresh,67,184,74,59411
Bad Words,"Jason Bateman makes his feature directorial debut with the subversive comedy Bad Words. Mr. Bateman stars as Guy Trilby, a 40-year-old who finds a loophole in the rules of The Golden Quill national spelling bee and decides to cause trouble by hijacking the competition. Contest officials, outraged parents, and overly ambitious 8th graders are no match for Guy, as he ruthlessly crushes their dreams of victory and fame. As a reporter (Kathryn Hahn of We're the Millers) attempts to discover his true motivation, Guy finds himself forging an unlikely alliance with a competitor: awkward 10-year-old Chaitanya (Rohan Chand of Homeland), who is completely unfazed by Guy's take-no-prisoners approach to life. (c) Focus","Scabrously funny and gleefully amoral, Bad Words boasts one of Jason Bateman's best performances -- and proves he's a talented director in the bargain.",R,Comedy,Jason Bateman,Andrew Dodge,"Jason Bateman, Kathryn Hahn, Rohan Chand, Allison Janney, Ben Falcone, Rachael Harris, Philip Baker Hall, Judith Hoag, Beth Grant, Steve Witting, Gwen Parden, Anjul Nigam, Allan Miller, Bob Stephenson, Patricia Belcher, Matthew Zhang, Madison Hu, Michael Patrick McGill, Mychael Bates, Greg Cromer, Kimleigh Smith, Ethan Dizon, Emily Sarah Carlson, Jacquie Barnbrook, Mak Krikscuin, Sofia Nam, Lucky Davis, Terry Shusta, Connor Kalopsis, Amanda Anka, Tanner Goad, William M. Maltz, Gregory Sutton",2014-03-28,2014-07-08,89,Focus Features,Fresh,66,132,61,28385
Beginners,"Beginners imaginatively explores the hilarity, confusion, and surprises of love through the evolving consciousness of Oliver (Ewan McGregor). Oliver meets the irreverent and unpredictable Anna (Mélanie Laurent) only months after his father Hal (Christopher Plummer) has passed away. This new love floods Oliver with memories of his father who - following 44 years of marriage - came out of the closet at age 75 to live a full, energized, and wonderfully tumultuous gay life. The upheavals of Hal's new honesty, by turns funny and moving, brought father and son closer than they'd ever been able to be. Now Oliver endeavors to love Anna with all the bravery, humor, and hope that his father taught him. -- (c) IFC","Wearing its twee heart on its sleeve, Beginners explores the depths of modern, multi-generational romance with wit and depth.",R,"Comedy, Drama",Mike Mills,Mike Mills,"Ewan McGregor, Christopher Plummer, Goran Visnjic, Kai Lennox, Mary Page Keller, Mélanie Laurent, Keegan Boos, China Jesusita Shavers, Melissa Tang, Amanda Payton, Luke Diliberto, Lou Taylor Pucci, Bill Oberst Jr., Jessica Elder, Bambadjan Bamba, Hana Hwang, Samuel T. Ritter, Jennifer Lauren Grant, Reynaldo Pacheco, Jodi Long, Bruce French, Leslie Shea, Michael Chieffo, Jennifer Hasty, Rodney Saulsberry, June Sanders, Catherine McGoohan, Terry Walters, Lana Young, Algerita Wynn Lewis, Regina McKee Redwing, Sunday Burke, Patrick Birkett, Sabera Wise, Rafael J. Noble, José Yenque, T.G. Cody, Ton Suckhasem, Charly Valentino, Seth Walker, Patrick Scott, Michael Wilhelms",2011-06-03,2011-11-15,104,Focus Features,Certified Fresh,85,158,77,25135
Being Flynn,"Writer-director Paul Weitz turns his hand to this moving portrait of fathers and sons. Based on a true story, Being Flynn follows Nick Flynn (Paul Dano) who is shocked to have his eccentric and long-absent father, Jonathan (Robert De Niro) reach out to him unexpectedly. Still feeling the loss of his mother (played in flashbacks by Julianne Moore) in the midst of starting a new relationship with Denise (Olivia Thirlby), the last person Nick wants to see is his father. But you can't outrun fate and slowly Nick comes to realize he has been given the chance to make a real future not only for himself, but for his struggling father too. -- (C) Focus","Robert De Niro gives a sincere, gripping performance, but Being Flynn is an uneasy mix of drama and comedy that fails to emotionally resonate as a whole.",R,Drama,Paul Weitz,Paul Weitz,"Robert De Niro, Paul Dano, Julianne Moore, Olivia Thirlby, Eddie Rouse, Steve Cirbus, Lili Taylor, Victor Rasuk, Liam Broggy, Chris Chalk, Wes Studi, Thomas Middleditch, Sarah Quinn, Benjamin Foronda, Dale Dickey, Joshua Alscher, Dawn McGee, Billy Wirth, Michael Ferris Gibson, Kelly J. McCreary, Deirdre O'Connell, Katherine Waterston, Robert Andrews (II), Michael Genadry, Kelli Crump, Dara Tomanovich, Jane Lee, Evan Wadle, Victor Pagan, Rony Clanton, Michael Buscemi, Lorenzo Murphy, William Sadler, Joseph Prioleau, Lee Stringer, John O'Brien, Joey Boots, Luis Moco, Marilyn Torres, Stephen Williams, Roy Milton Davis, Rufino Colon, Jeff Ware, Samira Wiley, Stuart Rudin, Gabriel Millman, Thomas Hoffman, Thomas Hoffmann, Joyce Myricks, Dwight Folsom, Carlton Bembry, George Asatrian, Anthony Piccolo, Kevin Keels, Badly Drawn Boy",2012-03-02,2012-07-10,102,Focus Features,Rotten,51,81,41,4281
Black Sea,"A suspenseful adventure thriller directed by Academy Award winner Kevin Macdonald, centering on a rogue submarine captain (two-time Academy Award nominee Jude Law) who pulls together a misfit crew to go after a sunken treasure rumored to be lost in the depths of the Black Sea. As greed and desperation take control onboard their claustrophobic vessel, the increasing uncertainty of the mission causes the men to turn on each other to fight for their own survival. (C) Focus","Black Sea may not be particularly deep, but thanks to Kevin Macdonald's judicious direction and a magnetic performance from Jude Law, it remains an efficiently well-crafted thriller.",R,"Action & Adventure, Drama, Mystery & Suspense",Kevin Macdonald,Dennis Kelly,"Jude Law, Scoot McNairy, Ben Mendelsohn, David Threlfall, Karl Davies, Michael Smiley, Jodie Whittaker, Tobias Menzies, Grigoriy Dobrygin",2015-01-23,2015-05-05,115,Focus Features,Certified Fresh,80,135,59,16262
BlacKkKlansman,"From visionary filmmaker Spike Lee comes the incredible true story of an American hero. It's the early 1970s, and Ron Stallworth (John David Washington) is the first African-American detective to serve in the Colorado Springs Police Department. Determined to make a name for himself, Stallworth bravely sets out on a dangerous mission: infiltrate and expose the Ku Klux Klan. The young detective soon recruits a more seasoned colleague, Flip Zimmerman (Adam Driver), into the undercover investigation of a lifetime. Together, they team up to take down the extremist hate group as the organization aims to sanitize its violent rhetoric to appeal to the mainstream. Produced by the team behind the Academy-Award (R) winning Get Out.",BlacKkKlansman uses history to offer bitingly trenchant commentary on current events -- and brings out some of Spike Lee's hardest-hitting work in decades along the way.,R,"Comedy, Drama",Spike Lee,"Charlie Wachtel, David Rabinowitz, Kevin Willmott, Spike Lee","John David Washington, Adam Driver, Laura Harrier, Topher Grace, Jasper Pääkkönen, Ryan Eggold, Corey Hawkins, Paul Walter Hauser, Ashlie Atkinson, Alec Baldwin, Harry Belafonte, Isiah Whitlock Jr., Robert John Burke, Brian Tarantina, Arthur Nascarella, Ken Garito",2018-08-10,2018-11-06,135,Focus Features,Certified Fresh,96,413,82,10188
Boy Erased,"""Boy Erased"" tells the story of Jared (Hedges), the son of a Baptist pastor in a small American town, who is outed to his parents (Kidman and Crowe) at age 19. Jared is faced with an ultimatum: attend a conversion therapy program - or be permanently exiled and shunned by his family, friends, and faith. Boy Erased is the true story of one young man's struggle to find himself while being forced to question every aspect of his identity.","Anchored in empathy by writer-director-star Joel Edgerton, Boy Erased proves the road to complex, powerfully performed drama can also be paved with good intentions.",R,Drama,Joel Edgerton,Joel Edgerton,"Lucas Hedges, Nicole Kidman, Russell Crowe, Joel Edgerton, Cherry Jones, Flea, Xavier Dolan, Troye Sivan, Joe Alwyn, Emily Hinkler, Jesse LaTourette, David Joseph Craig, Théodore Pellerin, Madelyn Cline, Britton Sear",2018-11-02,2019-01-29,111,Focus Features,Certified Fresh,80,246,74,2278
Brick,"""Brick,"" while taking its cues and its verbal style from the novels of Dashiell Hammett, also honors the rich cinematic tradition of the hard-boiled noir mystery, here wittily and bracingly immersed in fresh territory - a modern-day Southern California neighborhood and high school. There, student Brendan Frye's piercing intelligence spares no one. Brendan is not afraid to back up his words with actions, and knows all the angles; yet he prefers to stay an outsider, and does - until the day that his ex-girlfriend, Emily reaches out to him unexpectedly and then vanishes. Brendan's feelings for her still run deep; so much so, that he becomes consumed with finding his troubled inamorata. To find her, Brendan enlists the aid of his only true peer, The Brain, while keeping the assistant vice principal only occasionally informed of what quickly becomes a dangerous investigation. Brendan's single-minded unearthing of students' secrets thrusts him headlong into the colliding social orbits of rich-girl sophisticate Laura, intimidating Tugger, substance-abusing Dode, seductive Kara, jock Brad and - most ominously - non-student The Pin. It is only by gaining acceptance into The Pin's closely guarded inner circle of crime and punishment that Brendan will be able to uncover hard truths about himself, Emily and the suspects that he is getting closer to.",This entertaining homage to noirs past has been slickly and compellingly updated to a contemporary high school setting.,R,"Action & Adventure, Drama, Horror, Mystery & Suspense",Rian Johnson,Rian Johnson,"Joseph Gordon-Levitt, Lukas Haas, Nora Zehetner, Noah Segan, Noah Fleiss, Emilie De Ravin, Matt O'Leary, Meagan Good, Richard Roundtree, Lucas Babin, Brian J. White, Jonathan Cauff, Reedy Gibbs, Tracy Wilcoxen, Ari Velkom, Cody Lightning, McJoel Hamilton",2006-04-21,2006-08-08,119,Focus Features,Certified Fresh,79,140,86,105620
